relevance_score,score,published,episode_title,series,context
2,0.65,2026-01-27T15:19:00+00:00,Making the Case for the Terminal as AI's Workbench: Warp’s Zach Lloyd,Training Data,"OpenAI is mentioned as a major competitor in the AI coding space, both as a model provider (GPT models) and as a company racing into the application layer. They're discussed alongside Anthropic and Google as companies that can subsidize their tools with model profits."
2,0.6,2026-01-27T11:00:00+00:00,"Healthcare 2026: AI Doctors, GLP-1s, and Insurance Defection",a16z Podcast,"OpenAI is discussed for launching a health app and ChatGPT being used by 230 million people worldwide for health-related questions, representing a significant shift in how people seek medical information."
3,0.8,2026-01-26T17:33:24+00:00,The Hidden Economics Powering AI,a16z Podcast,"OpenAI is extensively discussed as a major AI company and A16Z portfolio investment. The conversation covers OpenAI's business model, user growth, monetization strategy, cash burn, and competitive positioning in the AI market."
2,0.65,2026-01-26T12:00:00+00:00,"20VC: From Only OpenAI to Die-Hard Anthropic: The Downfall of OpenAI in Enterprise | Harvey vs Legora: Legal AI is a Winner Take All | $7M ARR in a Single Day and Raising $200M Across 3 Rounds with No Deck with Max Junestrand, CEO @ Legora",The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,OpenAI is discussed as Legora's former primary model provider and compared unfavorably to Anthropic in terms of enterprise focus. The conversation covers their transition away from OpenAI and predictions about OpenAI's future market position.
2,0.7,2026-01-25T19:52:00+00:00,"The Future of Everything: What CEOs of Circle, CrowdStrike & More See Coming in 2026","All-In with Chamath, Jason, Sacks & Friedberg","OpenAI was mentioned as a major customer of Crusoe Cloud and in discussions about the Stargate project, AI infrastructure needs, and the competitive landscape in AI development."
3,0.75,2026-01-23T18:37:00+00:00,Coinbase CEO Brian Armstrong Breaks Down the Three Biggest Trends in Crypto + More from Davos!,"All-In with Chamath, Jason, Sacks & Friedberg","OpenAI was extensively discussed in the Cerebras interview, particularly regarding their major purchase order with Cerebras for AI infrastructure and their early investment relationship."
2,0.7,2026-01-23T15:22:00+00:00,"Captaining IMO Gold, Deep Think, On-Policy RL, Feeling the AGI in Singapore — Yi Tay 2",Latent Space: The AI Engineer Podcast,"OpenAI was discussed in multiple contexts including comparisons of their IMO approach to Google's, their coding capabilities, and their use of majority voting techniques. The organization served as a reference point for competitive AI development."
2,0.65,2026-01-23T14:51:14+00:00,Snowflake vs Databricks: The AI Data War | CEO of $SNOW,Sourcery,OpenAI was mentioned multiple times in the context of AI model development and market positioning. Sridhar discussed OpenAI's creation of frontier models and questioned how quickly competitors might catch up to their lead in the AI space.
3,0.75,2026-01-22T11:00:00+00:00,"The State of AI: Rise of Reasoning, Surge in Chinese Open Source, Sovereign AI , Investing in AI Today | Nathan Benaich, Air Street Capital",The Peel with Turner Novak,"OpenAI was discussed extensively as a leading AI company, particularly regarding ChatGPT's capabilities, reasoning features, and revenue growth. The conversation covered OpenAI's role in advancing AI capabilities, its competitive position against other model providers, and how it has become a dominant force in the AI landscape with tens of billions in revenue."
4,0.9,2026-01-22T07:07:00+00:00,20VC: Sam Altman vs Elon Musk: The $100BN Battle | The Implosion of Thinking Machines | Can VC Survive Public Market Pricing Today? | ClickHouse and Replit's New Rounds: Analysed,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,"OpenAI was the primary focus of extensive discussion, covering the legal battle with Elon Musk, its conversion from nonprofit to for-profit, leadership changes, and the introduction of advertising to ChatGPT. The hosts analyzed its competitive position, fundraising challenges, and strategic decisions in detail."
2,0.65,2026-01-21T21:22:59+00:00,How Andrew Wilkinson Uses Opus 4.5 in His Work and Life ,AI and I,"OpenAI was discussed multiple times in comparison to Anthropic's offerings, with mentions of ChatGPT models and their capabilities. The speakers compared different AI models and discussed OpenAI's browser agent Atlas."
2,0.7,2026-01-21T21:16:00+00:00,"Microsoft CEO Satya Nadella on AI's Business Revolution: What Happens to SaaS, OpenAI, and Microsoft? | LIVE from Davos","All-In with Chamath, Jason, Sacks & Friedberg","OpenAI is discussed as Microsoft's key AI partner, with significant focus on their strategic deal and partnership structure. Nadella addresses questions about whether Microsoft created a potential competitor through this relationship and discusses access to OpenAI's IP and source code."
3,0.8,2026-01-21T17:26:00+00:00,Uncapped #40 | Vinod Khosla and Keith Rabois from Khosla Ventures,Uncapped with Jack Altman,"OpenAI is discussed extensively as a major investment, including the story of their initial investment decision, loyalty during leadership changes, and their approach to AI research and customer acquisition."
2,0.65,2026-01-21T10:00:00+00:00,Context Engineering Our Way to Long-Horizon AI: LangChain’s Harrison Chase,Training Data,OpenAI is discussed in the context of their models' training on Bash tools and their approach to tool calling. The conversation references ChatGPT's memory features and compares OpenAI's training methods to Anthropic's.
2,0.7,2026-01-20T11:00:00+00:00,How Should AI Be Regulated? Use vs. Development,AI + a16z,OpenAI was discussed as a leading example of US closed-source AI models and mentioned in the context of ChatGPT as an example of companies that both develop models and offer applications. The company represents the current US leadership in proprietary AI systems.
4,0.9,2026-01-19T17:50:00+00:00,Episode 12 - State of the AI Industry,OpenAI Podcast,"OpenAI is the primary focus of the entire podcast, with extensive discussion of its business model, compute investments, revenue growth, product development (ChatGPT, SORA), enterprise strategy, and future direction. The CFO Sarah Fryer provides detailed insights into the company's operations and strategic decisions."
2,0.55,2026-01-19T15:17:00+00:00,Story Of The Most Important Founder You've Never Heard Of,My First Million,"OpenAI is mentioned as existing because of DeepMind's pioneering work in AI, with the hosts explaining how DeepMind's research laid the groundwork for companies like OpenAI and products like ChatGPT."
3,0.8,2026-01-19T11:00:00+00:00,The AI Opportunity That Goes Beyond Models,a16z Podcast,"OpenAI is discussed extensively as a key infrastructure provider in the AI ecosystem, with references to ChatGPT's adoption, their competitive positioning, and how they're expanding beyond just providing APIs to building consumer applications."
3,0.75,2026-01-19T07:07:00+00:00,"20VC: How Model Performance is Plateauing | Two Key Rules for Effective Deal-Making | Company Building Lessons from Keith Rabois, Brian Halligan and Pat Grady | Why Enterprise AI Adoption is Years Off with Harvey CEO Winston Weinberg",The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,"OpenAI was discussed as Harvey's first investor and key model provider. The conversation covered their investment relationship, model routing decisions, and OpenAI's consumer brand power and market position relative to competitors."
2,0.6,2026-01-18T13:31:19+00:00,The non-technical PM’s guide to building with Cursor | Zevi Arnovitz (Meta),Lenny's Podcast: Product | Growth | Career,"OpenAI is discussed as the creator of ChatGPT and GPT models that Zevi uses in his workflow. He mentions using GPT projects, ChatGPT voice mode, and Codex for code review, comparing their characteristics to other AI models."
2,0.6,2026-01-17T00:00:00+00:00,"Iran's Breaking Point, Trump's Greenland Acquisition, Solving Energy Costs, Billionaire Tax Backlash","All-In with Chamath, Jason, Sacks & Friedberg","OpenAI was featured in discussion about their $10+ billion compute deal with Cerebras and their strategy to diversify compute suppliers including AMD, Nvidia, and Cerebras. The hosts noted their aggressive approach to securing multiple inference paths."
2,0.6,2026-01-15T07:39:00+00:00,Bits + Bips: How AI and Energy Prices Will Force the Fed’s Hand,Unchained,"OpenAI was discussed in detail regarding its $850 billion valuation, $100 billion funding needs, and $1 trillion in committed obligations. The conversation explored whether OpenAI represents a bubble and its sustainability in the AI ecosystem."
3,0.75,2026-01-15T07:07:00+00:00,20VC: Anthropic's $10BN Fundraise: Have They Beaten Cursor Already | a16z's $15BN Fundraise: Is the Middle Dead in VC Today? | How OpenAI Could Go to Zero and ElevenLabs at $11BN: Buy or Not?,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,"OpenAI was discussed as Anthropic's main competitor, with analysis of their competitive challenges, potential existential risks, and how they're being pressured by both Anthropic in enterprise and Google's Gemini in consumer markets. The hosts debated whether OpenAI could face significant decline."
2,0.55,2026-01-14T16:00:00+00:00,Why Your AI Learning Projects Keep Fizzling Out ,AI and I,"OpenAI's ChatGPT was discussed extensively as a comparison point to Oboe, with the conversation exploring why dedicated learning platforms are needed beyond general-purpose LLMs like ChatGPT."
4,0.8,2026-01-14T08:01:00+00:00,Reid Riffs with Parth Patil on Individual AI Mastery (Part 1 of 3),Possible,"OpenAI was extensively discussed throughout the conversation as the creator of ChatGPT and GPT-4, which were central to Parth's AI journey and daily workflow. The discussion covered OpenAI's models, tools like ChatGPT Atlas browser, and their impact on transforming how people interact with AI."
2,0.7,2026-01-12T21:10:00+00:00,Alex Rampell on Venture at Scale and Founder Incentives,a16z Podcast,"OpenAI was discussed in the context of AI infrastructure layers, talent retention challenges, and the competitive landscape for foundation models. Also mentioned regarding the promiscuity of customers in AI applications."
2,0.7,2026-01-12T10:17:12+00:00,Why We’re Only Using 1% of AI | Glean CEO Arvind Jain,Grit,OpenAI is discussed as both a key technology partner providing models to Glean and as a major competitor trying to build similar enterprise AI capabilities. Their ambitious scope and competitive threat to Glean is explored.
3,0.75,2026-01-11T13:31:22+00:00,What OpenAI and Google engineers learned deploying 50+ AI products in production,Lenny's Podcast: Product | Growth | Career,"OpenAI was extensively discussed as Kriti's employer where she works on Codex, and as a key example for AI product development challenges including customer support scaling and evaluation approaches. The organization served as a primary case study for AI product deployment strategies."
3,0.75,2026-01-09T00:03:00+00:00,Artificial Analysis: The Independent LLM Analysis House — with George Cameron and Micah Hill-Smith,Latent Space: The AI Engineer Podcast,"OpenAI is discussed extensively throughout the podcast as a major AI lab whose models (GPT-4, GPT-5, ChatGPT) are frequently benchmarked and compared. The hosts analyze OpenAI's market position, model performance, and discuss specific products like GPT Pro and reasoning models."
3,0.75,2026-01-08T16:00:00+00:00,Artificial Analysis: The Independent LLM Analysis House — with George Cameron and Micah-Hill Smith,Latent Space: The AI Engineer Podcast,"OpenAI is discussed extensively throughout the podcast as a major AI lab whose models (GPT-4, GPT-5, ChatGPT) are frequently benchmarked and compared. The hosts analyze OpenAI's market position, model performance, and discuss specific products like GPT Pro and reasoning models."
2,0.7,2026-01-08T11:00:00+00:00,"NVIDIA’s Jensen Huang on Reasoning Models, Robotics, and Refuting the “AI Bubble” Narrative",No Priors: Artificial Intelligence | Technology | Startups,"OpenAI is discussed multiple times in the context of AI model development, revenue growth, and capacity constraints. Huang references their business model and the need for AI factories to generate tokens, using them as an example of successful AI monetization."
2,0.7,2026-01-08T07:07:00+00:00,20VC: Groq's $20BN NVIDIA Acquisition | Manus Acquired by Meta for $2BN | Why Sam Altman Does Not Care About Dilution | Navan Trading at 4x ARR & Why Going Public Does Not Make Sense Anymore | The Rise of Invisible Unemployment and Labour Markets in 2026,The Twenty Minute VC (20VC): Venture Capital | Startup Funding | The Pitch,"OpenAI was discussed regarding their high stock-based compensation (46% of revenue), hardware development including a pen-like device, and SoftBank's $40 billion investment. The hosts analyzed their spending patterns and competitive position."
2,0.7,2026-01-07T16:00:00+00:00,"AI in 2026: Reid Hoffman’s Predictions on Agents, Work, and Creation",AI and I,"OpenAI was discussed as a major competitor in the AI space, particularly regarding their coding capabilities with Codex and ChatGPT. The conversation analyzed their competitive position and potential strategic challenges in the coding agent market."
2,0.65,2026-01-07T13:00:00+00:00,Brendan Foody on Teaching AI and the Future of Knowledge Work,Conversations with Tyler,"Discussed extensively in relation to GPT models (GPT-4O, GPT-5) and their performance improvements. The conversation covers model capabilities and advancement rates, with specific performance metrics cited from Mercor's research."
3,0.8,2026-01-07T11:00:00+00:00,"Marc Andreessen's 2026 Outlook: AI Timelines, US vs. China, and The Price of AI",a16z Podcast,"OpenAI is discussed extensively as a leading AI company, particularly regarding ChatGPT's breakthrough moment, GPT model development, and competition with other AI labs. The company is referenced as a key player in the AI race and source of talent for new startups."
2,0.65,2026-01-07T08:01:00+00:00,"Amjad Masad on vibe coding, AI agents, and the end of boilerplate",Possible,"OpenAI is discussed as a key AI model provider that Replit integrates with, particularly for ChatGPT and API services. The conversation touches on how Replit handles billing and integration with OpenAI's services for users building AI applications."
2,0.65,2026-01-06T13:00:00+00:00,Chambers’ 2026 Outlook — an AI Roller Coaster,Tech Disruptors,OpenAI was discussed in the context of Microsoft's strategic partnership and as a catalyst for mainstream AI adoption. The conversation also mentioned Google's Gemini as a potential challenger to OpenAI's market position.
